LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,PAY_AVG,PAY_MAX,LATE_COUNT,TOTAL_BILL,TOTAL_PAY,PAY_BILL_RATIO,UTIL_RATE,default_actual,default_predicted,prob_default,prediction_status
50000.0,1,2,2,46,-1,-1,-1,-1,0,0,1540.0,26060.0,0.0,2650.0,3320.0,2764.0,26060.0,0.0,3472.0,2320.0,1764.0,2841.0,-0.6666666666666666,0,0,36334.0,36457.0,1.0033852589860737,0.0308,0,0,0.3367553,True Negative
150000.0,1,1,1,31,-1,-1,-2,-2,-2,-1,15000.0,0.0,0.0,0.0,0.0,11694.0,0.0,0.0,0.0,0.0,11694.0,30000.0,-1.5,-1,0,26694.0,41694.0,1.5619240278714317,0.1,0,0,0.37780973,True Negative
50000.0,1,2,2,25,0,0,0,0,0,0,48065.0,48355.0,49009.0,49949.0,50479.0,50702.0,1800.0,1844.0,2200.0,2000.0,1800.0,2038.0,0.0,0,0,296559.0,11682.0,0.03939182422384753,0.9613,0,0,0.41934666,True Negative
290000.0,2,1,2,25,0,0,0,0,0,0,305823.0,303701.0,296384.0,248801.0,241983.0,230925.0,15000.0,10500.0,10000.0,15000.0,7844.0,23333.0,0.0,0,0,1627617.0,81677.0,0.050181953125336,1.0545620689655173,1,0,0.28561243,False Negative
500000.0,2,2,1,27,-2,-2,-2,-2,-2,-2,11354.0,9983.0,13570.0,10000.0,10000.0,10000.0,9983.0,13587.0,10000.0,10000.0,10000.0,25304.0,-2.0,-2,0,64907.0,78874.0,1.215184802871801,0.022708,0,0,0.10942511,True Negative
200000.0,1,1,1,29,1,2,0,0,0,0,199417.0,188778.0,195335.0,194775.0,197105.0,204122.0,0.0,8278.0,4100.0,180000.0,202317.0,0.0,0.5,2,2,1179532.0,394695.0,0.33462000183123475,0.997085,0,1,0.6508597,False Positive
210000.0,1,2,2,31,0,0,0,0,0,0,189650.0,127111.0,93208.0,88223.0,84175.0,80305.0,5000.0,4200.0,3100.0,3000.0,3100.0,3000.0,0.0,0,0,662672.0,21400.0,0.03229350266798658,0.9030952380952381,0,0,0.32484978,True Negative
260000.0,1,3,2,35,0,0,0,0,0,0,33078.0,42056.0,43986.0,45879.0,54264.0,59872.0,10000.0,10000.0,10390.0,10009.0,10000.0,10000.0,0.0,0,0,279135.0,60399.0,0.21637917136869256,0.1272230769230769,0,0,0.11190889,True Negative
450000.0,2,1,1,42,-1,-1,-1,-1,-1,-1,72517.0,0.0,6281.0,3446.0,6157.0,0.0,0.0,6281.0,3446.0,6157.0,0.0,14380.0,-1.0,-1,0,88401.0,30264.0,0.34234906844945195,0.1611488888888889,0,0,0.27678522,True Negative
150000.0,1,3,2,39,0,0,0,0,0,0,42029.0,42678.0,11413.0,12418.0,12415.0,13211.0,2100.0,1500.0,1500.0,500.0,1000.0,2300.0,0.0,0,0,134164.0,8900.0,0.06633672222056587,0.28019333333333335,0,0,0.19562317,True Negative
